165,28,18,HITAM
120,26,20,HITAM
120,28,18,HITAM
120,28,18,HITAM
120,28,18,HITAM
120,30,17,HITAM
120,30,17,HITAM
120,32,16,HITAM
120,30,17,HITAM
120,30,17,HITAM
120,36,14,HITAM
120,36,14,HITAM
120,34,15,HITAM
120,36,14,HITAM
120,39,13,HITAM
120,39,13,HITAM
120,39,13,HITAM
120,43,12,HITAM
120,43,12,HITAM
120,39,13,HITAM
120,39,13,HITAM
120,43,12,HITAM
120,39,13,HITAM
120,39,13,HITAM
120,43,12,HITAM
120,39,13,HITAM
120,43,12,HITAM
120,43,12,HITAM
120,36,14,HITAM
120,36,14,HITAM
120,36,14,HITAM
120,30,17,HITAM
120,30,17,HITAM
120,34,15,HITAM
120,32,16,HITAM
120,32,16,HITAM
120,30,17,HITAM
120,30,17,HITAM
120,28,18,HITAM
120,28,18,HITAM
120,28,18,HITAM
120,28,18,HITAM
120,26,20,HITAM
120,26,20,HITAM
120,26,20,HITAM
120,26,20,HITAM
120,24,21,HITAM
120,24,21,HITAM
120,24,21,HITAM
120,23,22,HITAM
120,23,22,HITAM
120,23,22,HITAM
120,23,22,HITAM
120,23,22,HITAM
120,22,23,HITAM
120,20,25,HITAM
120,20,25,HITAM
120,20,26,HITAM
120,19,27,HITAM
120,19,27,HITAM
120,18,29,HITAM
120,18,29,HITAM
120,18,29,HITAM
120,18,28,HITAM
120,17,30,HITAM
120,17,30,HITAM
120,18,29,HITAM
120,18,29,HITAM
120,18,29,HITAM
120,18,28,HITAM
120,18,28,HITAM
128,33,31,HITAM
120,16,31,HITAM
120,15,33,HITAM
120,15,33,HITAM
0,0,29,PUTIH
0,0,32,PUTIH
0,0,32,PUTIH
120,15,33,HITAM
120,16,32,HITAM
120,16,32,HITAM
120,15,34,HITAM
120,15,34,HITAM
120,16,32,HITAM
120,15,34,HITAM
128,29,35,HITAM
128,29,35,HITAM
0,0,32,PUTIH
120,15,34,HITAM
120,15,34,HITAM
120,15,34,HITAM
120,15,34,HITAM
120,15,34,HITAM
128,29,35,HITAM
128,29,35,HITAM
120,15,34,HITAM
120,15,34,HITAM
0,0,33,PUTIH
0,0,33,PUTIH
120,14,36,HITAM
120,14,36,HITAM
128,28,36,HITAM
120,13,38,HITAM
120,13,38,HITAM
0,0,34,PUTIH
0,0,34,PUTIH
0,0,34,PUTIH
0,0,33,PUTIH
0,0,33,PUTIH
0,0,33,PUTIH
0,0,33,PUTIH
120,14,37,HITAM
120,14,37,HITAM
120,13,39,HITAM
0,0,36,PUTIH
0,0,36,PUTIH
0,0,38,PUTIH
0,0,37,PUTIH
0,0,37,PUTIH
0,0,37,PUTIH
120,13,39,HITAM
120,13,39,HITAM
0,0,38,PUTIH
0,0,37,PUTIH
0,0,37,PUTIH
0,0,35,PUTIH
0,0,37,PUTIH
0,0,37,PUTIH
0,0,37,PUTIH
0,0,36,PUTIH
0,0,36,PUTIH
0,0,37,PUTIH
0,0,38,PUTIH
0,0,38,PUTIH
0,0,39,PUTIH
120,7,38,HITAM
120,7,38,HITAM
30,14,37,HITAM
120,7,39,HITAM
120,7,39,HITAM
0,0,38,PUTIH
0,0,38,PUTIH
0,0,38,PUTIH
120,7,38,HITAM
